,PropertyUrl,sq ft,sqft lot,acres lot,FoodFactor
20,https://www.realtor.com/realestateandhomes-detail/1810-Opa-Locka-Blvd_Opa-Locka_FL_33054_M69282-79824,"1,670",,0.29,  1/10
32,https://www.realtor.com/realestateandhomes-detail/16040-SW-68th-St_Miami_FL_33193_M58737-34482,"1,596","4,782",,  1/10
33,https://www.realtor.com/realestateandhomes-detail/4005-Santa-Maria-St_Coral-Gables_FL_33146_M55465-44581,"2,522",,0.31,  3/10
27,https://www.realtor.com/realestateandhomes-detail/16451-SW-197th-Ave_Miami_FL_33187_M54890-26785,"5,000",,8.86,  1/10
34,https://www.realtor.com/realestateandhomes-detail/1059-NE-88th-St_El-Portal_FL_33138_M53429-03875,"2,859","6,215",,  10/10
37,https://www.realtor.com/realestateandhomes-detail/525-Loretto-Ave_Coral-Gables_FL_33146_M56671-37171,"1,441","5,000",,  3/10
38,https://www.realtor.com/realestateandhomes-detail/15439-SW-96th-Ter_Miami_FL_33196_M58829-27797,"2,190","4,950",,  1/10
43,https://www.realtor.com/realestateandhomes-detail/911-E-52nd-St_Hialeah_FL_33013_M69955-18957,"1,320","9,316",,  1/10
41,https://www.realtor.com/realestateandhomes-detail/732-Almeria-Ave_Coral-Gables_FL_33134_M69741-39525,"3,788","9,375",,  1/10
39,https://www.realtor.com/realestateandhomes-detail/10240-SW-103rd-Ct_Miami_FL_33176_M64715-17465,"2,291","9,425",,  6/10
42,https://www.realtor.com/realestateandhomes-detail/10276-NW-30th-Ter_Doral_FL_33172_M64947-36195,"1,854","1,646",,  1/10
40,https://www.realtor.com/realestateandhomes-detail/7820-SW-126th-Ter_Miami_FL_33156_M68899-09936,"2,888",,0.89,  1/10
48,https://www.realtor.com/realestateandhomes-detail/11995-SW-73rd-Ave_Miami_FL_33156_M59242-86696,"2,890",,0.43,  1/10
45,https://www.realtor.com/realestateandhomes-detail/1-Samana-Dr_Miami_FL_33133_M68489-28741,"3,195","9,600",,  1/10
46,https://www.realtor.com/realestateandhomes-detail/7745-SW-122nd-St_Miami_FL_33156_M60158-11850,"4,352",,0.93,  5/10
35,https://www.realtor.com/realestateandhomes-detail/7755-SW-129th-St_Miami_FL_33156_M60539-72176,"2,451",,0.5,  2/10
49,https://www.realtor.com/realestateandhomes-detail/27307-SW-117th-Pl_Homestead_FL_33032_M60197-19700,"1,677","5,000",,  1/10
44,https://www.realtor.com/realestateandhomes-detail/670-Warren-Ln_Key-Biscayne_FL_33149_M62382-89527,"2,396","7,500",,  10/10
36,https://www.realtor.com/realestateandhomes-detail/4171-Lybyer-Ave_Miami_FL_33133_M55333-74693,"2,500","8,700",,  1/10
47,https://www.realtor.com/realestateandhomes-detail/18925-NW-54th-Ave_Miami-Gardens_FL_33055_M67674-17272,"1,864","4,764",,  5/10
52,https://www.realtor.com/realestateandhomes-detail/10611-NE-11th-Ct_Miami-Shores_FL_33138_M53034-73359,"1,510",,0.27,  10/10
51,https://www.realtor.com/realestateandhomes-detail/18445-SW-92nd-Ct_Miami_FL_33157_M69272-30261,"1,812","8,800",,  
50,https://www.realtor.com/realestateandhomes-detail/10455-SW-200th-St_Cutler-Bay_FL_33157_M51268-64983,"1,666","8,250",,  5/10
54,https://www.realtor.com/realestateandhomes-detail/16620-SW-82nd-St_Miami_FL_33193_M69646-21670,"3,347","7,000",,  1/10
55,https://www.realtor.com/realestateandhomes-detail/18605-NW-5th-Ct_Miami_FL_33169_M63657-78977,"1,699",,0.25,  1/10
57,https://www.realtor.com/realestateandhomes-detail/5324-NW-187th-St_Miami-Gardens_FL_33055_M67520-26438,"1,410","5,467",,  1/10
56,https://www.realtor.com/realestateandhomes-detail/2836-Crystal-Ct_Coconut-Grove_FL_33133_M51897-20736,"3,917","5,450",,  1/10
53,https://www.realtor.com/realestateandhomes-detail/2992-NW-95th-Ter_Miami_FL_33147_M69616-35992,"1,272","7,000",,  4/10
59,https://www.realtor.com/realestateandhomes-detail/3637-SW-5th-St_Miami_FL_33135_M56103-20610,"1,245","4,500",,  1/10
58,https://www.realtor.com/realestateandhomes-detail/5046-SW-76th-St_Miami_FL_33143_M64643-36510,"3,790","8,925",,  1/10
60,https://www.realtor.com/realestateandhomes-detail/285-W-Enid-Dr_Key-Biscayne_FL_33149_M62465-99832,"3,436","7,500",,  10/10
63,https://www.realtor.com/realestateandhomes-detail/1709-SW-24th-St_Miami_FL_33145_M57539-14541,"2,198","6,300",,  1/10
64,https://www.realtor.com/realestateandhomes-detail/9112-SW-227th-Ter_Cutler-Bay_FL_33190_M59137-53333,"2,170","4,449",,  6/10
61,https://www.realtor.com/realestateandhomes-detail/130-Island-Dr_Key-Biscayne_FL_33149_M62297-92892,"5,313",,0.23,  9/10
65,https://www.realtor.com/realestateandhomes-detail/5002-SW-86th-St_Coral-Gables_FL_33143_M52662-13225,"6,524",,0.79,  3/10
66,https://www.realtor.com/realestateandhomes-detail/9023-SW-163rd-Ter_Palmetto-Bay_FL_33157_M61341-64783,"2,413","7,700",,  3/10
68,https://www.realtor.com/realestateandhomes-detail/18135-NW-84th-Ave_Hialeah_FL_33015_M59697-39773,"3,507","8,452",,  1/10
62,https://www.realtor.com/realestateandhomes-detail/10920-SW-149th-Pl_Miami_FL_33196_M67118-22294,"1,828","4,709",,  1/10
69,https://www.realtor.com/realestateandhomes-detail/477-NE-92nd-St_Miami-Shores_FL_33138_M97620-58302,"2,248",,0.34,  6/10
70,https://www.realtor.com/realestateandhomes-detail/12000-NW-10th-Ave_North-Miami_FL_33168_M60395-98894,"1,000","6,750",,  5/10
71,https://www.realtor.com/realestateandhomes-detail/15420-SW-173rd-St_Miami_FL_33187_M68459-31566,"2,805","5,000",,  1/10
67,https://www.realtor.com/realestateandhomes-detail/13441-SW-24th-St_Miami_FL_33175_M67291-48298,"2,120","7,485",,  2/10
72,https://www.realtor.com/realestateandhomes-detail/9060-SW-48th-St_Miami_FL_33165_M62588-77509,"2,143","7,500",,  1/10
73,https://www.realtor.com/realestateandhomes-detail/4223-Braganza-Ave_Coral-Gables_FL_33133_M68638-43861,"3,718","9,314",,  1/10
74,https://www.realtor.com/realestateandhomes-detail/30965-SW-191st-Ave_Homestead_FL_33030_M60565-01185,"1,717",,0.24,  2/10
76,https://www.realtor.com/realestateandhomes-detail/13741-SW-280th-Ter_Homestead_FL_33033_M61672-18300,"1,325","8,528",,  5/10
77,https://www.realtor.com/realestateandhomes-detail/12764-SW-257th-St_Homestead_FL_33032_M67947-19388,"1,180","5,400",,  5/10
81,https://www.realtor.com/realestateandhomes-detail/13221-SW-272nd-Ln_Homestead_FL_33032_M94038-33322,,"6,000",,  6/10
78,https://www.realtor.com/realestateandhomes-detail/13974-SW-160th-Ter_Miami_FL_33177_M66119-24164,"1,572","3,045",,  1/10
75,https://www.realtor.com/realestateandhomes-detail/2350-NW-191st-Ter_Miami-Gardens_FL_33056_M64974-25518,"1,386","7,500",,  4/10
80,https://www.realtor.com/realestateandhomes-detail/102-NE-106th-St_Miami-Shores_FL_33138_M52791-38699,"2,234","9,247",,  4/10
79,https://www.realtor.com/realestateandhomes-detail/14285-SW-175th-Ter_Miami_FL_33177_M56356-82301,"1,410","3,760",,  2/10
84,https://www.realtor.com/realestateandhomes-detail/611-N-Mashta-Dr_Key-Biscayne_FL_33149_M62185-75844,"3,620",,0.35,  10/10
85,https://www.realtor.com/realestateandhomes-detail/6510-Castaneda-St_Coral-Gables_FL_33146_M57054-83826,"4,015","9,965",,  3/10
87,https://www.realtor.com/realestateandhomes-detail/3980-NW-192nd-St_Miami-Gardens_FL_33055_M65661-43916,"1,390","7,950",,  3/10
83,https://www.realtor.com/realestateandhomes-detail/28288-SW-136th-Ave_Homestead_FL_33033_M61495-54243,"1,548","7,534",,  6/10
86,https://www.realtor.com/realestateandhomes-detail/8340-NW-178th-St_Hialeah_FL_33015_M58892-96636,"1,387","7,500",,  4/10
88,https://www.realtor.com/realestateandhomes-detail/2080-NE-205th-St_Miami_FL_33179_M56094-15375,"2,719","8,925",,  6/10
90,https://www.realtor.com/realestateandhomes-detail/3669-Loquat-Ave_Miami_FL_33133_M96797-77864,"3,930","7,000",,  1/10
82,https://www.realtor.com/realestateandhomes-detail/125-Shore-Dr-W_Miami_FL_33133_M52476-98226,"2,469",,0.25,  6/10
91,https://www.realtor.com/realestateandhomes-detail/3724-Loquat-Ave_Miami_FL_33133_M66612-66198,"4,635",,0.26,  1/10
94,https://www.realtor.com/realestateandhomes-detail/15620-SW-85th-Ave_Palmetto-Bay_FL_33157_M51453-60263,"2,608",,0.38,  1/10
93,https://www.realtor.com/realestateandhomes-detail/7401-SW-157th-Ct_Miami_FL_33193_M59199-81516,"2,140","5,726",,  1/10
96,https://www.realtor.com/realestateandhomes-detail/8925-NW-189th-Ter_Hialeah_FL_33018_M58835-06382,"3,136","7,449",,  6/10
95,https://www.realtor.com/realestateandhomes-detail/9790-SW-159th-St_Miami_FL_33157_M51897-06734,"2,315",,0.24,  1/10
89,https://www.realtor.com/realestateandhomes-detail/7470-SW-147th-St_Palmetto-Bay_FL_33158_M55924-65180,"4,568",,0.41,  6/10
97,https://www.realtor.com/realestateandhomes-detail/23860-SW-162nd-Ave_Homestead_FL_33031_M58044-34350,"4,043",,4.81,  7/10
98,https://www.realtor.com/realestateandhomes-detail/416-Golden-Beach-Dr_Golden-Beach_FL_33160_M58000-42043,"2,575",,0.5,  10/10
92,https://www.realtor.com/realestateandhomes-detail/800-S-Alhambra-Cir_Coral-Gables_FL_33146_M57354-08378,"6,380",,0.68,  3/10
100,https://www.realtor.com/realestateandhomes-detail/3700-Poinciana-Ave_Miami_FL_33133_M52231-30616,"4,814",,0.43,  1/10
104,https://www.realtor.com/realestateandhomes-detail/9760-SW-60th-St_Miami_FL_33173_M59034-84076,"5,326",,1.15,  1/10
99,https://www.realtor.com/realestateandhomes-detail/15563-SW-276th-St_Homestead_FL_33032_M65058-41446,"3,106",,1.0,  3/10
102,https://www.realtor.com/realestateandhomes-detail/12355-SW-124th-Ter_Miami_FL_33186_M52608-34151,"2,831","6,000",,  1/10
103,https://www.realtor.com/realestateandhomes-detail/20469-SW-328th-St_Homestead_FL_33030_M55835-03072,"2,884",,0.5,  2/10
106,https://www.realtor.com/realestateandhomes-detail/18551-SW-136th-St_Miami_FL_33196_M69806-72987,"10,317",,4.7,  6/10
107,https://www.realtor.com/realestateandhomes-detail/1040-NE-41st-Ave_Homestead_FL_33033_M62686-68822,"1,507","3,989",,  6/10
105,https://www.realtor.com/realestateandhomes-detail/2201-Sunset-Dr_Miami-Beach_FL_33140_M66625-21867,"6,673",,0.53,  10/10
101,https://www.realtor.com/realestateandhomes-detail/16820-SW-74th-Ct_Palmetto-Bay_FL_33157_M54796-73033,"4,027",,0.35,  6/10
109,https://www.realtor.com/realestateandhomes-detail/6440-SW-28th-St_Miami_FL_33155_M60603-61833,864,"7,500",,  3/10
108,https://www.realtor.com/realestateandhomes-detail/8335-NW-197th-Ter_Hialeah_FL_33015_M59798-52876,"1,654","6,179",,  1/10
113,https://www.realtor.com/realestateandhomes-detail/13334-SW-284th-St_Homestead_FL_33033_M51766-96396,"1,452","5,554",,  6/10
110,https://www.realtor.com/realestateandhomes-detail/675-NE-71st-St_Miami_FL_33138_M59429-90530,"1,366","7,500",,  10/10
111,https://www.realtor.com/realestateandhomes-detail/7520-SW-159th-Ter_Palmetto-Bay_FL_33157_M96929-04600,"2,418",,0.35,  
114,https://www.realtor.com/realestateandhomes-detail/6465-SW-116th-St_Miami_FL_33156_M52553-02528,"4,039",,0.93,  3/10
112,https://www.realtor.com/realestateandhomes-detail/504-Majorca-Ave_Coral-Gables_FL_33134_M51093-28682,"1,986","5,650",,  1/10
115,https://www.realtor.com/realestateandhomes-detail/7821-Fowler-St_Miami-Beach_FL_33141_M55660-83307,"1,749","7,200",,  10/10
117,https://www.realtor.com/realestateandhomes-detail/383-De-Soto-Dr_Miami-Springs_FL_33166_M59169-19411,"1,348","7,100",,  
116,https://www.realtor.com/realestateandhomes-detail/Doral_FL_33178_M51968-83165,"2,118","2,120",,  1/10
119,https://www.realtor.com/realestateandhomes-detail/11016-SW-156th-Pl_Miami_FL_33196_M60299-79206,"2,294","5,995",,  5/10
120,https://www.realtor.com/realestateandhomes-detail/15036-SW-55th-Ter_Miami_FL_33185_M51611-35129,"2,361","8,187",,  1/10
118,https://www.realtor.com/realestateandhomes-detail/8021-SW-198th-St_Cutler-Bay_FL_33189_M69823-10366,"1,620","8,276",,  6/10
122,https://www.realtor.com/realestateandhomes-detail/14831-Palmetto-Palm-Ave_Miami-Lakes_FL_33014_M62663-02144,"1,392","8,432",,  4/10
121,https://www.realtor.com/realestateandhomes-detail/7900-NW-167th-Ter_Miami-Lakes_FL_33016_M61415-27147,"8,486",,0.31,  4/10
123,https://www.realtor.com/realestateandhomes-detail/16644-SW-93rd-Ct_Palmetto-Bay_FL_33157_M56971-82478,"1,946","7,524",,  6/10
125,https://www.realtor.com/realestateandhomes-detail/6340-Tamiami-Canal-Rd_Miami_FL_33126_M56138-20460,"1,060","5,720",,  5/10
126,https://www.realtor.com/realestateandhomes-detail/North-Miami_FL_33161_M61176-74193,"1,352",,0.47,  5/10
129,https://www.realtor.com/realestateandhomes-detail/935-NE-72nd-Ter_Miami_FL_33138_M66827-19488,"2,454",,,  
132,https://www.realtor.com/realestateandhomes-detail/2941-NW-96th-St_Miami_FL_33147_M50042-30990,720,"9,450",,  1/10
130,https://www.realtor.com/realestateandhomes-detail/1541-NW-55th-St_Miami_FL_33142_M53327-08935,750,"5,250",,  1/10
128,https://www.realtor.com/realestateandhomes-detail/11100-NE-12th-Ave_Miami_FL_33161_M62372-60602,"1,028","6,500",,  5/10
124,https://www.realtor.com/realestateandhomes-detail/15017-SW-176th-St_Miami_FL_33187_M59552-10088,"3,664","5,894",,  1/10
131,https://www.realtor.com/realestateandhomes-detail/9234-SW-167th-Pl_Miami_FL_33196_M68533-21078,"2,347","6,880",,  4/10
127,https://www.realtor.com/realestateandhomes-detail/630-SW-64th-Ct_Miami_FL_33144_M53954-79303,"1,323","5,350",,  9/10
133,https://www.realtor.com/realestateandhomes-detail/1500-Campamento-Ave_Coral-Gables_FL_33156_M58623-73444,"2,254",,0.24,  7/10
138,https://www.realtor.com/realestateandhomes-detail/6347-NW-39th-Ter_Virginia-Gardens_FL_33166_M63706-20889,"3,571","6,000",,  1/10
137,https://www.realtor.com/realestateandhomes-detail/6260-W-16th-Ave_Hialeah_FL_33012_M66785-72116,"2,965",,0.25,  1/10
135,https://www.realtor.com/realestateandhomes-detail/30221-SW-152nd-Ave_Homestead_FL_33033_M51977-21572,"1,356","7,500",,  6/10
139,https://www.realtor.com/realestateandhomes-detail/3881-NW-1st-St_Miami_FL_33126_M57649-59751,"2,145","7,630",,  1/10
134,https://www.realtor.com/realestateandhomes-detail/1836-NE-211th-Ln_Miami_FL_33179_M59733-68602,"3,450",,0.38,  6/10
136,https://www.realtor.com/realestateandhomes-detail/13202-SW-215th-Ter_Miami_FL_33177_M90331-94141,"2,804",,0.3,  3/10
140,https://www.realtor.com/realestateandhomes-detail/8401-NW-24th-Pl_Miami_FL_33147_M50008-53821,"1,577","4,380",,  4/10
141,https://www.realtor.com/realestateandhomes-detail/1370-NE-131st-St_North-Miami_FL_33161_M63061-62181,"1,355",,0.24,  6/10
143,https://www.realtor.com/realestateandhomes-detail/8740-SW-126th-Ter_Miami_FL_33176_M66658-24624,"1,639",,0.35,  1/10
145,https://www.realtor.com/realestateandhomes-detail/3131-NE-210th-Ter_Aventura_FL_33180_M58941-93086,"2,540","2,842",,  9/10
148,https://www.realtor.com/realestateandhomes-detail/1252-Venetia-Ave_Coral-Gables_FL_33134_M52729-75297,"1,832","5,000",,  7/10
142,https://www.realtor.com/realestateandhomes-detail/6026-SW-33rd-St_Miami_FL_33155_M68673-79051,"1,466","8,750",,  6/10
144,https://www.realtor.com/realestateandhomes-detail/1101-89th-St_Surfside_FL_33154_M55322-86246,"2,120",,0.29,  10/10
146,https://www.realtor.com/realestateandhomes-detail/4936-SW-6th-St_Coral-Gables_FL_33134_M50543-98652,"1,553","5,250",,  6/10
147,https://www.realtor.com/realestateandhomes-detail/9454-NW-52nd-Doral-Ln_Doral_FL_33178_M64760-98027,"3,645",,0.31,  1/10
151,https://www.realtor.com/realestateandhomes-detail/10061-NW-87th-Ter_Doral_FL_33178_M67999-44751,"2,650","4,000",,  6/10
150,https://www.realtor.com/realestateandhomes-detail/639-NE-191st-Ter_Miami_FL_33179_M67746-03910,"2,318","3,850",,  4/10
149,https://www.realtor.com/realestateandhomes-detail/5801-NE-4th-Ct_Miami_FL_33137_M60069-50260,"1,581","6,050",,  1/10
154,https://www.realtor.com/realestateandhomes-detail/9754-NW-10th-St_Miami_FL_33172_M68452-58945,"2,602","4,275",,  1/10
153,https://www.realtor.com/realestateandhomes-detail/12151-SW-126th-Ter_Miami_FL_33186_M50455-46447,"2,911","6,000",,  3/10
156,https://www.realtor.com/realestateandhomes-detail/1325-NE-201st-Ter_Miami_FL_33179_M55539-63653,"1,953","7,875",,  1/10
158,https://www.realtor.com/realestateandhomes-detail/445-W-42nd-St_Miami-Beach_FL_33140_M63837-72618,"3,040","6,900",,  10/10
152,https://www.realtor.com/realestateandhomes-detail/665-Grand-Concourse_Miami-Shores_FL_33138_M68418-62425,"3,133",,0.31,  6/10
157,https://www.realtor.com/realestateandhomes-detail/7242-SW-158th-Pl_Miami_FL_33193_M59049-26076,"2,135","5,385",,  1/10
160,https://www.realtor.com/realestateandhomes-detail/16420-SW-52nd-St_Miami_FL_33185_M52787-42194,"3,386","7,151",,  1/10
159,https://www.realtor.com/realestateandhomes-detail/1081-NE-85th-St_Miami_FL_33138_M53007-34787,"2,152","7,350",,  10/10
163,https://www.realtor.com/realestateandhomes-detail/1410-Mercado-Ave_Coral-Gables_FL_33146_M55659-22871,"2,330","5,000",,  6/10
161,https://www.realtor.com/realestateandhomes-detail/8933-NW-160th-Ter_Miami-Lakes_FL_33018_M92169-64314,"2,531","5,900",,  6/10
164,https://www.realtor.com/realestateandhomes-detail/16240-W-Troon-Cir_Miami-Lakes_FL_33014_M60868-66630,"2,764",,0.26,  2/10
166,https://www.realtor.com/realestateandhomes-detail/15901-NW-18th-Ave_Opa-Locka_FL_33054_M66543-15961,"1,376","7,800",,  1/10
167,https://www.realtor.com/realestateandhomes-detail/543-W-15th-St_Hialeah_FL_33010_M53450-36258,"1,310","5,400",,  2/10
170,https://www.realtor.com/realestateandhomes-detail/12405-Croton-Rd_North-Miami_FL_33181_M61798-30636,"2,319",,0.28,  10/10
168,https://www.realtor.com/realestateandhomes-detail/7280-NE-8th-Ave_Miami_FL_33138_M55182-81956,"1,791","7,629",,  9/10
169,https://www.realtor.com/realestateandhomes-detail/19164-NW-33rd-Ave_Miami-Gardens_FL_33056_M66693-84609,"1,464","6,990",,  1/10
172,https://www.realtor.com/realestateandhomes-detail/8635-NW-102nd-Ct_Medley_FL_33178_M52651-62959,"2,650","4,000",,  1/10
171,https://www.realtor.com/realestateandhomes-detail/1565-Cleveland-Rd_Miami-Beach_FL_33141_M55774-49420,"4,812",,0.26,  10/10
165,https://www.realtor.com/realestateandhomes-detail/5720-SW-82nd-St_Miami_FL_33143_M50370-59136,"4,849",,0.33,  1/10
173,https://www.realtor.com/realestateandhomes-detail/2567-SE-7th-Ct_Homestead_FL_33033_M51581-73449,"1,397","6,189",,  6/10
175,https://www.realtor.com/realestateandhomes-detail/2071-NW-14th-St_Miami_FL_33125_M53093-80485,"2,249",,0.25,  9/10
155,https://www.realtor.com/realestateandhomes-detail/8244-SW-176th-Ter_Palmetto-Bay_FL_33157_M51036-95044,"2,480",,0.34,  6/10
176,https://www.realtor.com/realestateandhomes-detail/9384-SW-212th-Ter_Cutler-Bay_FL_33189_M60782-86351,"2,900",,0.3,  
162,https://www.realtor.com/realestateandhomes-detail/4111-Battersea-Rd_Miami_FL_33133_M69039-79281,"2,324","5,525",,  1/10
177,https://www.realtor.com/realestateandhomes-detail/540-NE-108th-St_Miami_FL_33161_M61803-92774,"1,976",,0.3,  8/10
174,https://www.realtor.com/realestateandhomes-detail/9035-NW-161st-Ter_Miami-Lakes_FL_33018_M50988-39218,"2,543","8,250",,  6/10
178,https://www.realtor.com/realestateandhomes-detail/9050-SW-162nd-St_Palmetto-Bay_FL_33157_M55010-84534,"1,856","5,002",,  5/10
179,https://www.realtor.com/realestateandhomes-detail/8817-Hammock-Lake-Dr_Coral-Gables_FL_33156_M96466-85864,"7,623",,1.05,  4/10
180,https://www.realtor.com/realestateandhomes-detail/8360-SW-156th-St_Palmetto-Bay_FL_33157_M57903-08293,"2,853",,0.34,  
181,https://www.realtor.com/realestateandhomes-detail/349-Centre-Is_Golden-Beach_FL_33160_M58164-01792,"6,692",,0.32,  10/10
184,https://www.realtor.com/realestateandhomes-detail/12941-NW-19th-Ave_Miami_FL_33167_M53765-29128,"1,958","7,827",,  1/10
183,https://www.realtor.com/realestateandhomes-detail/110-E-Sunrise-Ave_Coral-Gables_FL_33133_M61693-58417,"2,568",,0.36,  10/10
186,https://www.realtor.com/realestateandhomes-detail/6331-SW-34th-St_Miami_FL_33155_M60118-04401,"1,768","7,500",,  3/10
187,https://www.realtor.com/realestateandhomes-detail/850-E-Dilido-Dr_Miami-Beach_FL_33139_M66788-81616,"2,862","7,150",,  9/10
182,https://www.realtor.com/realestateandhomes-detail/140-Paloma-Dr_Coral-Gables_FL_33143_M58595-03966,"6,203",,0.33,  7/10
189,https://www.realtor.com/realestateandhomes-detail/13833-SW-124th-Avenue-Rd_Miami_FL_33186_M66694-91424,"2,185","8,160",,  1/10
188,https://www.realtor.com/realestateandhomes-detail/15122-SW-176th-St_Miami_FL_33187_M61084-71764,"3,404","5,732",,  1/10
190,https://www.realtor.com/realestateandhomes-detail/120-N-Hibiscus-Dr_Miami-Beach_FL_33139_M66501-86840,"3,861","9,500",,  10/10
191,https://www.realtor.com/realestateandhomes-detail/5605-SW-85th-St_South-Miami_FL_33143_M64840-87460,"3,121",,0.35,  6/10
193,https://www.realtor.com/realestateandhomes-detail/501-Alminar-Ave_Coral-Gables_FL_33146_M56446-65808,"1,473","9,980",,  1/10
195,https://www.realtor.com/realestateandhomes-detail/15970-SW-77th-Ct_Palmetto-Bay_FL_33157_M51125-66233,"2,227",,0.38,  6/10
196,https://www.realtor.com/realestateandhomes-detail/4191-Battersea-Rd_Miami_FL_33133_M54498-19345,"1,914","9,100",,  1/10
197,https://www.realtor.com/realestateandhomes-detail/792-NE-193rd-Ter_Miami_FL_33179_M61309-73852,"2,223","3,988",,  4/10
194,https://www.realtor.com/realestateandhomes-detail/9500-SW-60th-Ct_Miami_FL_33156_M58437-54994,"5,347",,1.05,  1/10
185,https://www.realtor.com/realestateandhomes-detail/11825-SW-3rd-St_Miami_FL_33184_M65262-72507,826,"6,250",,  6/10
192,https://www.realtor.com/realestateandhomes-detail/11805-NE-10th-Ave_Biscayne-Park_FL_33161_M57701-92023,"1,439","7,500",,  6/10
201,https://www.realtor.com/realestateandhomes-detail/2-Tahiti-Beach-Island-Rd_Coral-Gables_FL_33143_M57862-39123,"13,570",,0.95,  7/10
200,https://www.realtor.com/realestateandhomes-detail/5382-NW-110th-Ave_Doral_FL_33178_M67258-66571,"2,620","5,409",,  1/10
199,https://www.realtor.com/realestateandhomes-detail/641-NE-57th-St_Miami_FL_33137_M59152-76041,"2,472",,0.24,  10/10
202,https://www.realtor.com/realestateandhomes-detail/5600-NE-6th-Ave_Miami_FL_33137_M57049-47062,"5,600",,0.43,  9/10
